"","종목코드","종목명","종가","대비","등락률","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"275","017040","광명전기",2290,-100,-4.18,185,12.38,2255,1.02,15,0.66
"276","017900","광전자",2435,-90,-3.56,66,36.89,3805,0.64,50,2.05
"277","037710","광주신세계",158500,-3000,-1.86,29953,5.29,413244,0.38,3500,2.21
"278","026910","광진실업",4810,-175,-3.51,NA,NA,4384,1.1,0,0
"279","090150","광진윈텍",4225,-80,-1.86,223,18.95,4315,0.98,100,2.37
"280","355150","교보10호스팩",2080,15,0.73,NA,NA,NA,NA,0,0
"281","331520","교보9호스팩",2075,-25,-1.19,NA,NA,NA,NA,0,0
"282","030610","교보증권",7270,-120,-1.62,2391,3.04,26692,0.27,400,5.5
"283","339770","교촌에프앤비",17600,-600,-3.3,1411,12.47,3835,4.59,96,0.55
"284","053270","구영테크",3575,275,8.33,136,26.29,2717,1.32,30,0.84
"285","007690","국도화학",55300,1100,2.03,6219,8.89,88911,0.62,1500,2.71
"286","005320","국동",4200,50,1.2,NA,NA,2337,1.8,0,0
"287","001140","국보",2160,65,3.1,NA,NA,1333,1.62,0,0
"288","066620","국보디자인",19500,-800,-3.94,2293,8.5,16449,1.19,300,1.54
"289","043650","국순당",7350,-550,-6.96,NA,NA,11214,0.66,100,1.36
"290","006050","국영지앤엠",2800,-20,-0.71,32,87.5,1514,1.85,15,0.54
"291","060480","국일신동",4430,-270,-5.74,NA,NA,4269,1.04,50,1.13
"292","078130","국일제지",4300,-90,-2.05,NA,NA,357,12.04,0,0
"293","307750","국전약품",6740,-220,-3.16,NA,NA,NA,NA,0,0
"294","002720","국제약품",8530,-160,-1.84,NA,NA,3311,2.58,0,0
"295","204020","그리티",2895,-95,-3.18,89,32.53,3678,0.79,30,1.04
"296","083420","그린케미칼",12600,-400,-3.08,236,53.39,4521,2.79,170,1.35
"297","186230","그린플러스",12500,-500,-3.85,337,37.09,3824,3.27,0,0
"298","014530","극동유화",3490,-80,-2.24,422,8.27,4825,0.72,160,4.58
"299","204620","글로벌텍스프리",3150,35,1.12,163,19.33,1953,1.61,0,0
"300","019660","글로본",3900,-60,-1.52,NA,NA,714,5.46,0,0
"301","014280","금강공업",5140,-50,-0.96,NA,NA,10865,0.47,80,1.56
"302","014285","금강공업우",10300,-150,-1.44,NA,NA,NA,NA,90,0.87
"303","053260","금강철강",3710,145,4.07,265,14,5902,0.63,100,2.7
"304","008870","금비",65900,-1500,-2.23,8088,8.15,103528,0.64,1700,2.58
"305","001570","금양",4700,-185,-3.79,NA,NA,1535,3.06,0,0
"306","002990","금호산업",8740,-220,-2.46,332,26.33,10364,0.84,500,5.72
"307","002995","금호산업우",31000,-450,-1.43,NA,NA,NA,NA,550,1.77
"308","011780","금호석유",211000,-9500,-4.31,10549,20,78488,2.69,1500,0.71
"309","011785","금호석유우",81300,-4400,-5.13,NA,NA,NA,NA,1550,1.91
"310","214330","금호에이치티",2225,-55,-2.41,NA,NA,2439,0.91,0,0
"311","001210","금호전기",2610,-30,-1.14,NA,NA,3098,0.84,0,0
"312","073240","금호타이어",3975,-50,-1.24,NA,NA,4383,0.91,0,0
"313","036190","금화피에스시",28850,-50,-0.17,4614,6.25,39902,0.72,1300,4.51
"314","049080","기가레인",2095,-145,-6.47,NA,NA,526,3.98,0,0
"315","035460","기산텔레콤",2700,-70,-2.53,231,11.69,2198,1.23,0,0
"316","092440","기신정기",3835,-45,-1.16,298,12.87,8125,0.47,150,3.91
"317","000270","기아차",79400,2400,3.12,4556,17.43,71487,1.11,1150,1.45
"318","024110","기업은행",8330,-190,-2.23,2242,3.72,33567,0.25,670,8.04
"319","013700","까뮤이앤씨",3410,-50,-1.45,305,11.18,1571,2.17,30,0.88
"320","308100","까스텔바작",13500,-400,-2.88,1083,12.47,11624,1.16,0,0
"321","004540","깨끗한나라",4050,-45,-1.1,NA,NA,4260,0.95,0,0
"322","004545","깨끗한나라우",17750,-300,-1.66,NA,NA,NA,NA,0,0
"323","187790","나노",1490,-50,-3.25,18,82.78,1954,0.76,0,0
"324","286750","나노브릭",18400,-250,-1.34,NA,NA,3103,5.93,0,0
"325","151910","나노스",7250,220,3.13,NA,NA,336,21.58,0,0
"326","121600","나노신소재",28600,-1100,-3.7,541,52.87,8591,3.33,120,0.42
"327","039860","나노엔텍",7390,-160,-2.12,219,33.74,1546,4.78,0,0
"328","091970","나노캠텍",1930,-45,-2.28,NA,NA,2292,0.84,0,0
"329","051490","나라엠앤디",10350,-450,-4.17,78,132.69,5596,1.85,60,0.58
