"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"223","00806K","대덕1우","KOSPI","기타금융",7830,-210,-2.61,9492755310
"224","353200","대덕전자","KOSPI","전기전자",14600,-250,-1.68,721487105000
"225","35320K","대덕전자1우","KOSPI","전기전자",8990,-210,-2.28,18838715810
"226","000490","대동공업","KOSPI","기계",7940,-140,-1.73,188401987400
"227","008110","대동전자","KOSPI","전기전자",5540,-110,-1.95,58117076380
"228","005750","대림B&Co","KOSPI","비금속광물",5320,-230,-4.14,88696316800
"229","001880","대림건설","KOSPI","건설업",30700,-1250,-3.91,677035818800
"230","006570","대림통상","KOSPI","기계",3980,-50,-1.24,60595500000
"231","001680","대상","KOSPI","음식료품",24950,-400,-1.58,864468223750
"232","001685","대상우","KOSPI","음식료품",17450,-750,-4.12,23910391350
"233","084690","대상홀딩스","KOSPI","기타금융",9700,-300,-3,351261618600
"234","084695","대상홀딩스우","KOSPI","기타금융",8200,-210,-2.5,7490552400
"235","128820","대성산업","KOSPI","유통업",3500,145,4.32,158324173000
"236","117580","대성에너지","KOSPI","전기가스업",5150,-10,-0.19,1.41625e+11
"237","016710","대성홀딩스","KOSPI","서비스업",28250,0,0,454527216750
"238","003540","대신증권","KOSPI","증권",13900,-50,-0.36,705750260000
"239","003547","대신증권2우B","KOSPI","증권",9450,-60,-0.63,9.45e+10
"240","003545","대신증권우","KOSPI","증권",9950,-20,-0.2,2.587e+11
"241","009190","대양금속","KOSPI","철강금속",3855,-100,-2.53,113976694845
"242","014160","대영포장","KOSPI","종이목재",2695,100,3.85,292123309555
"243","047040","대우건설","KOSPI","건설업",5870,-190,-3.14,2439704885060
"244","009320","대우부품","KOSPI","운수장비",2690,-30,-1.1,128168748750
"245","042660","대우조선해양","KOSPI","운수장비",25450,-700,-2.68,2730547526050
"246","003090","대웅","KOSPI","기타금융",36550,-1200,-3.18,2125089369000
"247","069620","대웅제약","KOSPI","의약품",135500,-5500,-3.9,1569980912500
"248","000430","대원강업","KOSPI","운수장비",4140,-40,-0.96,2.5668e+11
"249","006340","대원전선","KOSPI","전기전자",1510,-25,-1.63,107235620170
"250","006345","대원전선우","KOSPI","전기전자",2490,-95,-3.68,6526788000
"251","003220","대원제약","KOSPI","의약품",16650,0,0,337055989950
"252","024890","대원화성","KOSPI","화학",1850,-45,-2.37,76310931200
"253","002880","대유에이텍","KOSPI","운수장비",1070,-5,-0.47,114400106090
"254","000300","대유플러스","KOSPI","전기전자",804,-14,-1.71,95639922108
"255","012800","대창","KOSPI","철강금속",1990,-100,-4.78,181369593010
"256","015230","대창단조","KOSPI","운수장비",6280,-120,-1.88,89716802200
"257","001070","대한방직","KOSPI","섬유의복",39600,-150,-0.38,2.0988e+11
"258","006650","대한유화","KOSPI","화학",363500,3500,0.97,2.36275e+12
"259","001440","대한전선","KOSPI","전기전자",981,-29,-2.87,840200021829
"260","084010","대한제강","KOSPI","철강금속",13600,0,0,335195582400
"261","001790","대한제당","KOSPI","음식료품",22350,150,0.68,200471856300
"262","001795","대한제당우","KOSPI","음식료품",15100,350,2.37,9788967600
"263","001130","대한제분","KOSPI","음식료품",142000,-3000,-2.07,2.3998e+11
"264","003490","대한항공","KOSPI","운수창고업",28150,-700,-2.43,4904003420950
"265","003495","대한항공우","KOSPI","운수창고업",40200,-500,-1.23,44653918800
"266","005880","대한해운","KOSPI","운수창고업",3295,0,0,804873241550
