Date,days_passed,price,vert_barrier,top_barrier,bottom_barrier,out
2000-08-29,164,0.9088484644889832,2000-09-14 00:00:00,0.9613962546542622,0.8563006743237042,1
2000-08-30,165,0.9136465191841125,2000-09-15 00:00:00,0.9640852481379577,0.8632077902302674,1
2000-08-31,166,0.9357205629348755,2000-09-18 00:00:00,0.9852935699691494,0.8861475559006016,-1
2000-09-01,167,0.9741088151931763,2000-09-19 00:00:00,1.025763854121853,0.9224537762644995,-1
2000-09-05,168,0.9587528109550476,2000-09-20 00:00:00,1.0105207812515606,0.9069848406585346,-1
2000-09-06,169,0.8973318934440613,2000-09-21 00:00:00,0.9595173400951686,0.8351464467929539,-0.4321255386766525
2000-09-07,170,0.9520353674888611,2000-09-22 00:00:00,1.0223069929461341,0.8817637420315879,-1
2000-09-08,171,0.9040494561195374,2000-09-25 00:00:00,0.9758096506965648,0.8322892615425099,-1
2000-09-11,172,0.8973318934440613,2000-09-26 00:00:00,0.9654264143057402,0.8292373725823824,-1
2000-09-12,173,0.8867745995521545,2000-09-27 00:00:00,0.951335944990119,0.8222132541141901,-1
2000-09-13,174,0.8906132578849792,2000-09-28 00:00:00,0.9522968767295412,0.8289296390404173,-1
2000-09-14,175,0.8730989694595337,2000-09-29 00:00:00,0.9318066887567444,0.8143912501623229,1
2000-09-15,176,0.8481462001800537,2000-10-02 00:00:00,0.9043975173426783,0.7918948830174292,1
2000-09-18,177,0.9314014315605164,2000-10-03 00:00:00,1.0127885380007755,0.8500143251202572,-1
2000-09-19,178,0.920365035533905,2000-10-04 00:00:00,0.997598569973292,0.8431315010945181,-1
2000-09-20,179,0.9374000430107117,2000-10-05 00:00:00,1.0125824296320955,0.8622176563893278,-1
2000-09-21,180,0.8704599738121033,2000-10-06 00:00:00,0.9484933710720111,0.7924265765521954,-1
2000-09-22,181,0.8013606071472168,2000-10-09 00:00:00,0.8795400662264445,0.723181148067989,-1
2000-09-25,182,0.8215141296386719,2000-10-10 00:00:00,0.8995120614265455,0.7435161978507983,-1
2000-09-26,183,0.7898439168930054,2000-10-11 00:00:00,0.8629375148627285,0.7167503189232822,-1
2000-09-27,184,0.7514552474021912,2000-10-12 00:00:00,0.8200826702919384,0.682827824512444,1
2000-09-28,185,0.8215141296386719,2000-10-13 00:00:00,0.909871056257122,0.7331572030202218,-1
2000-09-29,186,0.3954014480113983,2000-10-16 00:00:00,0.5249316538062792,0.2658712422165175,-0.5038188139767821
2000-10-02,187,0.3723689019680023,2000-10-17 00:00:00,0.4884103988421391,0.25632740509386553,-0.5458505902393447
2000-10-03,188,0.34261801838874817,2000-10-18 00:00:00,0.44434095035480076,0.24089508642269558,-0.3302149803641172
2000-10-04,189,0.36277148127555847,2000-10-19 00:00:00,0.4681742695588797,0.25736869299223725,-0.6828871662238825
2000-10-05,190,0.33877846598625183,2000-10-20 00:00:00,0.4325168507162822,0.24504008125622143,-0.41976757106861695
2000-10-06,191,0.3406978249549866,2000-10-23 00:00:00,0.43098819053581783,0.2504074593741553,-0.30824632775703414
2000-10-09,192,0.3339802622795105,2000-10-24 00:00:00,0.4182788366744642,0.2496816878845568,-0.5236922248720975
2000-10-10,193,0.3205442726612091,2000-10-25 00:00:00,0.39750280917288966,0.24358573614952855,-0.47388258892558666
2000-10-11,194,0.3013495206832886,2000-10-26 00:00:00,0.3702716931247776,0.23242734824179956,-0.25063862516556695
2000-10-12,195,0.30710819363594055,2000-10-27 00:00:00,0.3748399431824455,0.2393764440894356,-0.3258977756523718
2000-10-13,196,0.33877846598625183,2000-10-30 00:00:00,0.41525816627726786,0.2622987656952358,-0.5521361675538593
2000-10-16,197,0.33014169335365295,2000-10-31 00:00:00,0.40103692924269885,0.25924645746460706,-0.4196591897956792
2000-10-17,198,0.3090275824069977,2000-11-01 00:00:00,0.3726203069703945,0.24543485784360083,0.09054475238746551
2000-10-18,199,0.3090275824069977,2000-11-02 00:00:00,0.36971586021981334,0.24833930459418202,0.5534913362569852
2000-10-19,200,0.2907932698726654,2000-11-03 00:00:00,0.3454600855698572,0.23612645417547362,0.9304388706359762
2000-10-20,201,0.29943013191223145,2000-11-06 00:00:00,0.3539491961022955,0.24491106772216736,0.5457149255565381
2000-10-23,202,0.3128661513328552,2000-11-07 00:00:00,0.3684896266877058,0.25724267597800465,0.25880429989363196
2000-10-24,203,0.28983375430107117,2000-11-08 00:00:00,0.3398874657436541,0.23978004285848825,1
2000-10-25,204,0.28407496213912964,2000-11-09 00:00:00,0.33073995596387706,0.2374099683143822,1
2000-10-26,205,0.28407496213912964,2000-11-10 00:00:00,0.3286060359661057,0.2395438883121536,1
2000-10-27,206,0.28503456711769104,2000-11-13 00:00:00,0.3277070404874453,0.24236209374793677,1
2000-10-30,207,0.29655125737190247,2000-11-14 00:00:00,0.3399989173063738,0.2531035974374311,1
2000-10-31,208,0.3003898561000824,2000-11-15 00:00:00,0.342481710978898,0.2582980012212668,1
2000-11-01,209,0.31478556990623474,2000-11-16 00:00:00,0.3581088992271377,0.2714622405853318,-0.531642341484608
2000-11-02,210,0.34261801838874817,2000-11-17 00:00:00,0.39132486979851755,0.2939111669789788,-1
2000-11-03,211,0.3416574001312256,2000-11-20 00:00:00,0.3878860289849929,0.29542877127745826,-1
2000-11-06,212,0.3291819989681244,2000-11-21 00:00:00,0.372318382121157,0.2860456158150918,-1
2000-11-07,213,0.327261745929718,2000-11-22 00:00:00,0.36807241599539375,0.2864510758640423,-1
2000-11-08,214,0.3080679476261139,2000-11-24 00:00:00,0.34619095142246986,0.2699449438297579,-0.3020929388389973
2000-11-09,215,0.3099871873855591,2000-11-27 00:00:00,0.34654294561904764,0.2734314291520705,-0.6300881672042496
2000-11-10,216,0.29271265864372253,2000-11-28 00:00:00,0.3267641153374691,0.258661201949976,-0.46503287394152926
2000-11-13,217,0.29751095175743103,2000-11-29 00:00:00,0.33075456641651485,0.2642673370983472,-0.837203592555972
2000-11-14,218,0.31094691157341003,2000-11-30 00:00:00,0.3454074265150611,0.27648639663175895,-1
2000-11-15,219,0.30518895387649536,2000-12-01 00:00:00,0.3375035416144105,0.27287436613858024,-1
2000-11-16,220,0.29175305366516113,2000-12-04 00:00:00,0.3219850491758527,0.2615210581544696,-1
